O50692.75,H50737.75,L50670.95,C50681.75
O50685.65,H50698.90,L50645.55,C50669.85
O50669.90,H50671.40,L50624.30,C50665.85
O50665.95,H50702.10,L50648.15,C50694.45
O50694.85,H50770.40,L50674.20,C50742.30
O50740.00,H50752.85,L50699.45,C50707.55
O50706.90,H50731.25,L50683.05,C50718.60
O50718.75,H50720.90,L50680.60,C50700.95
O50702.05,H50705.00,L50655.50,C50659.65
O50658.50,H50693.50,L50629.55,C50671.30
O50668.15,H50695.55,L50646.60,C50656.20
O50655.00,H50694.85,L50643.25,C50694.85
O50688.80,H50716.75,L50656.60,C50690.30
O50689.05,H50699.15,L50653.80,C50662.20
O50656.40,H50711.00,L50643.25,C50680.35
O50688.15,H50693.35,L50655.55,C50684.60
O50683.15,H50703.40,L50670.30,C50682.05
O50682.50,H50700.20,L50666.00,C50674.50
O50673.45,H50711.70,L50665.10,C50669.25
O50669.55,H50787.70,L50662.40,C50703.25
O50702.85,H50785.10,L50697.80,C50783.15
O50785.15,H50853.60,L50770.95,C50798.65
O50795.45,H50836.60,L50723.05,C50781.80
O50780.10,H50824.15,L50757.55,C50772.55
O50771.25,H50792.80,L50676.10,C50698.25
